item_id,title,url,source,type,date,validity,credibility,relevance,actionability,novelty,overall,route,drive_path
20251014-0937-987156,lablup/backend.ai,https://github.com/lablup/backend.ai,lablup/backend.ai,application,2025-10-14T09:33:23Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0937-987156
20251014-0937-530435,langfuse/langfuse,https://github.com/langfuse/langfuse,langfuse/langfuse,application,2025-10-14T09:37:36Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0937-530435
20251014-0946-023294,zapplyjobs/New-Grad-Positions,https://github.com/zapplyjobs/New-Grad-Positions,zapplyjobs/New-Grad-Positions,application,2025-10-14T09:45:46Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0946-023294
20251014-0946-078072,tutur3u/platform,https://github.com/tutur3u/platform,tutur3u/platform,application,2025-10-14T09:45:12Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0946-078072
20251014-0946-612746,hongbo-miao/hongbomiao.com,https://github.com/hongbo-miao/hongbomiao.com,hongbo-miao/hongbomiao.com,application,2025-10-14T09:44:20Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0946-612746
20251014-0946-702096,iflytek/astron-rpa,https://github.com/iflytek/astron-rpa,iflytek/astron-rpa,application,2025-10-14T09:43:47Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0946-702096
20251014-1707-072306,livekit/components-js,https://github.com/livekit/components-js,livekit/components-js,application,2025-10-14T17:07:28Z,0.600,0.500,0.600,0.600,0.500,0.585,weekly,vault\ai-intel\items\2025-10\20251014-1707-072306
20251014-1707-156703,SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,SimplifyJobs/Summer2026-Internships,application,2025-10-14T17:07:15Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-1707-156703
20251014-1707-234318,vercel/ai,https://github.com/vercel/ai,vercel/ai,application,2025-10-14T17:07:14Z,0.750,0.800,0.600,0.600,0.500,0.585,weekly,vault\ai-intel\items\2025-10\20251014-1707-234318
20251014-1707-318989,zama-ai/fhevm,https://github.com/zama-ai/fhevm,zama-ai/fhevm,application,2025-10-14T17:05:26Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-1707-318989
20251014-1708-253719,mthcht/awesome-lists,https://github.com/mthcht/awesome-lists,mthcht/awesome-lists,application,2025-10-14T17:04:45Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-1708-253719
20251014-1708-341569,mastra-ai/mastra,https://github.com/mastra-ai/mastra,mastra-ai/mastra,application,2025-10-14T17:03:07Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-1708-341569
20251014-1708-431169,caliwyr/Software,https://github.com/caliwyr/Software,caliwyr/Software,application,2025-10-14T17:00:33Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-1708-431169
